,PLAYER_NAME,PLAYER_ID,TEAM_NAME,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,METRIC
103,LeBron James,2544,Cleveland Cavaliers,CLE,2014-12-25T00:00:00,CLE @ MIA,1.9934796003330553
104,LeBron James,2544,Cleveland Cavaliers,CLE,2014-12-26T00:00:00,CLE @ ORL,2.211582453290009
105,LeBron James,2544,Cleveland Cavaliers,CLE,2014-12-28T00:00:00,CLE vs. DET,2.2866294145346098
106,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-13T00:00:00,CLE @ PHX,2.364289413902772
107,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-15T00:00:00,CLE @ LAL,2.50112443587609
108,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-16T00:00:00,CLE @ LAC,2.2363138485680665
109,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-19T00:00:00,CLE vs. CHI,1.823191176470588
110,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-21T00:00:00,CLE vs. UTA,1.9691743427186275
111,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-23T00:00:00,CLE vs. CHA,3.323106449592987
112,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-25T00:00:00,CLE vs. OKC,2.52688120950324
113,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-27T00:00:00,CLE @ DET,2.201685833526547
114,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-30T00:00:00,CLE vs. SAC,2.0505645161290325
115,LeBron James,2544,Cleveland Cavaliers,CLE,2015-01-31T00:00:00,CLE @ MIN,2.515974842767296
116,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-02T00:00:00,CLE vs. PHI,2.021828528919472
117,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-05T00:00:00,CLE vs. LAC,2.935798440311938
118,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-06T00:00:00,CLE @ IND,1.7491441472583498
119,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-08T00:00:00,CLE vs. LAL,2.513664273881833
120,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-11T00:00:00,CLE vs. MIA,1.963319554848967
121,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-12T00:00:00,CLE @ CHI,2.188827077552212
122,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-20T00:00:00,CLE @ WAS,2.817868613138685
123,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-22T00:00:00,CLE @ NYK,2.0386501701390967
124,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-24T00:00:00,CLE @ DET,1.7923562374631896
125,LeBron James,2544,Cleveland Cavaliers,CLE,2015-02-26T00:00:00,CLE vs. GSW,2.958899995395737
126,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-01T00:00:00,CLE @ HOU,1.9140338546822417
127,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-03T00:00:00,CLE vs. BOS,2.8900781758957654
128,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-04T00:00:00,CLE @ TOR,2.585755973835269
129,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-06T00:00:00,CLE @ ATL,1.9333594820072217
130,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-07T00:00:00,CLE vs. PHX,1.8512897914379798
131,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-10T00:00:00,CLE @ DAL,3.1547629459148454
132,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-12T00:00:00,CLE @ SAS,2.5319304666056732
133,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-15T00:00:00,CLE @ ORL,2.48704990403071
134,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-16T00:00:00,CLE @ MIA,2.2663224663359323
135,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-18T00:00:00,CLE vs. BKN,2.1303132530120483
136,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-20T00:00:00,CLE vs. IND,2.1726946564885496
137,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-22T00:00:00,CLE @ MIL,2.851513513513514
138,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-25T00:00:00,CLE @ MEM,2.6755510625894323
139,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-27T00:00:00,CLE @ BKN,2.436997486675045
140,LeBron James,2544,Cleveland Cavaliers,CLE,2015-03-29T00:00:00,CLE vs. PHI,1.7957144742630884
141,LeBron James,2544,Cleveland Cavaliers,CLE,2015-04-02T00:00:00,CLE vs. MIA,2.7374710860366718
142,LeBron James,2544,Cleveland Cavaliers,CLE,2015-04-05T00:00:00,CLE vs. CHI,2.2077794412999814
143,LeBron James,2544,Cleveland Cavaliers,CLE,2015-04-08T00:00:00,CLE @ MIL,2.5361994981179423
144,LeBron James,2544,Cleveland Cavaliers,CLE,2015-04-10T00:00:00,CLE vs. BOS,1.337741214057508
145,LeBron James,2544,Cleveland Cavaliers,CLE,2015-04-13T00:00:00,CLE vs. DET,3.1009751809720782
146,LeBron James,2544,Cleveland Cavaliers,CLE,2015-10-27T00:00:00,CLE @ CHI,1.6876987060998152
147,LeBron James,2544,Cleveland Cavaliers,CLE,2015-10-28T00:00:00,CLE @ MEM,1.3924155844155846
148,LeBron James,2544,Cleveland Cavaliers,CLE,2015-10-30T00:00:00,CLE vs. MIA,2.1386168958742635
149,LeBron James,2544,Cleveland Cavaliers,CLE,2015-11-02T00:00:00,CLE @ PHI,2.6740000000000004
150,LeBron James,2544,Cleveland Cavaliers,CLE,2015-11-04T00:00:00,CLE vs. NYK,1.874893873865311
151,LeBron James,2544,Cleveland Cavaliers,CLE,2015-11-06T00:00:00,CLE vs. PHI,2.940440366972477
152,LeBron James,2544,Cleveland Cavaliers,CLE,2015-11-08T00:00:00,CLE vs. IND,1.934734888148501
153,LeBron James,2544,Cleveland Cavaliers,CLE,2015-11-10T00:00:00,CLE vs. UTA,2.3980224570673707
154,LeBron James,2544,Cleveland Cavaliers,CLE,2015-11-13T00:00:00,CLE @ NYK,1.981900473933649
